NSN,rep_office,common_name,Description,Price,UI,AAC
3510-00-222-1457,General Products,Laundry Bag Pin,Nickel-coated copper alloy safety pin with blunt point is designed specifically for closing laundry bags.,57.44,HD,H
3510-00-273-9738,General Products,Laundry Bag,Laundry net is made of nylon or polyester and features two brass grommets at the top that can be joined together by Laundry Pin NSN 3510-00-222-1457 (sold separately). Laundry nets are intended for use in laundries when washing items of clothing.,38.53,DZ,H
3510-00-273-9739,General Products,Laundry Bag,Laundry net is made of nylon or polyester and features two brass grommets at the top that can be joined together by Laundry Pin NSN 3510-00-222-1457 (sold separately). Laundry nets are intended for use in laundries when washing items of clothing.,83.38,DZ,H
3510-01-622-7152,General Products,Laundry Net,"Locking drawstring, medium duty, 1/16"" hole size. Laundry net made of synthetic mesh.",8.07,EA,H
3510-01-622-7153,General Products,Laundry Net,"Locking drawstring, heavy duty, 3/16"" hole size. Laundry net made of synthetic mesh.",9.86,EA,H
3540-00-234-6743,General Products,Steel Strapping Sealer,"Seals 3/4""-wide, 0.015- to 0.023""-thick steel strapping. Light-duty sealer has a double crimping notch and an end jaw. Handles operate at a right angle to strapping. Hand-operated, non-powered sealer crimps seals on steel strapping to form a complete stra",54.4,EA,H
3540-00-273-8821,General Products,Strapping Coil Hand Truck,"Use for dispensing ribbon-wound, flat steel strapping. Coils revolve on rollers mounted at bottom of frame; the integral rack holds ribbon-wound coils of 3/4, 1-1/4 and 2"" strapping simultaneously. Strapping coil hand truck conveniently rolls directly to ",500.25,EA,H
3540-00-344-8642,General Products,Strapping Coil Hand Truck,"The perfect device for dispensing oscillated wound, flat steel strapping. Coils revolve on a 16""-diameter removable dispensing reel. Handles strapping coil or coils with a width of 3 or 6"", 16"" inside diameter. Strapping coil hand truck conveniently rolls",512.76,EA,H
3540-00-565-6240,General Products,Strapping and Sealing Kit,"Consists of 3/8""-wide steel strapping (0.020"" thick) and 2,000 seals. Replacement strapping (100-lbs. coil) is available under 8135-00-283-0664 and replacement seals (box of 5,000) are available under 8135-00-239-5285. Hand-operated kit secures and reinfo",853.3,KT,H
3540-00-565-6241,General Products,Strapping and Sealing Kit,"Consists of 1/2"" wide steel strapping (0.020"" thick) and 2,000 seals. Replacement strapping (100-lb. coil) is available under 8135-00-283-0666 (Galvanized) or 8135-00-285-4747 (Painted)  and replacement seals (box of 5,000) are available under 8135-00-239",853.3,KT,H
3540-00-565-6242,General Products,Strapping and Sealing Kit,"Consists of 5/8"" wide steel strapping (0.020"" thick) and 1,600 seals. Replacement strapping (100-lb. coil) is available under 8135-00-283-0667 (Galvanized) or 8135-00-281-4071 (Painted) and replacement seals (box of 5,000) are available under 8135-00-290-",853.3,KT,H
3540-00-565-6243,General Products,Strapping and Sealing Kit,"Consists of 3/4""wide steel strapping (0.020"" thick) and 1,500 seals. Replacement strapping (100-lb. coil) is available under 8135-00-283-0668 (Galvanized) or 8135-00-285-4748 (Painted) and replacement seals (box of 5,000) are available under 8135-00-239-5",853.3,KT,H
3540-00-565-6244,General Products,Strapping and Sealing Kit,"Consists of 1-1/4""wide steel strapping (0.035"" thick) and 100 seals. Heavy-duty steel strapping cutter is also included. Replacement strapping (100-lb. coil) is available under 8135-00-283-0671 (Galvanized) or 8135-00-531-7721 (Painted) and replacement se",1121.25,KT,H
3540-01-518-6568,Office Supplies & Paper Special Order,Table-Top Packaging System,"To be used with Sealed Air Inflatable Bubble Wrap P/Ns: 100568423, 100592860, 100568427, 100568452, 100567950, 100568428, 100568429, 100570284 and 100568453. NewAir I.B. Flex this small machine designed for workbench or table top use has a compact footpri",5425.96,AY,H
3540-01-529-1460,General Products,Sealing Machine,"For sealer parts repair kit see NSN 3540-01-529-1461. Operates on 115V AC, 60 Hertz. Impulse heat sealing machine has an adjustable seal timer for a variety of materials. Spring jaw closure and handle mounted cycle button provides easy and convenient oper",3196.86,EA,H
3540-01-669-5937,Office Supplies & Paper Special Order,Packaging System with Stand and Roller,This complete Air I.B. Flex system includes the PN:1001WY-20 plus the stand and roller. Includes a 25 foot power cord.,6916.56,AY,J
3590-00-058-1837,General Products,Barber's Kit,"A grooming essential for military personnel in the field. Barber's kit includes electric clipper (with speeds of 1700 to 2900 strokes per minute). Set includes various detachable blades and a size 0 manual clipper plus blade set; barber cloths (2 ea), com",485.42,KT,H
3740-00-252-3384,Hardware,Mouse Trap,"This standard size mouse trap features a four way mechanism that reacts to slight pressure on any side. It is made of wood, with trap wire and trigger. The trap has a double or single legged tension spring.",3.42,DZ,H
3750-00-243-2408,Hardware,Garden Rake,"Class B: Level head; Head contains 14 to 16 teeth and is a minimum of 14"" wide. Minimum head depth: 3""; Handle length: 65"" minimum. A must have tool for effective gardening! This rake is designed for raking and smoothing soil. Rake head features a forged ",32.45,EA,H
3750-00-599-6101,Hardware,Lawn Rake,"Class A: Radial head, Head 17"" W minimum, Tines: 18, Handle: 42"" L minimum. Lawn rake is suitable for raking grass clippings, leaves, twigs and litter from lawns without injury to the grass or roots. This steel tine rake has a flexible head and a handle m",27.52,EA,H
3750-00-641-1197,Hardware,Pruning Shears (Two Hand Loppers),"These rose and garden shears are for thinning plants or shaping small shrubbery. These shears have high carbon steel blades with steel, fiberglass or hardwood handles and a safety stop to protect operator.",42.97,EA,H
3750-00-641-5587,Hardware,Pruning Shears (One Hand),"These rose and garden shears are for thinning plants or shaping small shrubbery. These shears have high carbon steel blades with steel, fiberglass or hardwood handles and a safety stop to protect operator.",9.63,PR,H
3750-01-420-0677,Hardware,Weed Trimmer,"This 2-Cycle, 21.2 CC, 0.88 HP weed trimmer has a Auto-Centrifugal Clutch with 13.5 Ounce fuel tank. It takes  0.8 inch dia Nylon Line for the Dual Exit cutting head and has a cutting path of 16 inches. The shaft is 52 inches long.",286.43,EA,H
3750-01-611-7559,Hardware,Garden Hoe,"Control weeds with this hoe by agitating the surface of the soil around plants, piling soil around the base of plants (hilling), creating narrow furrows and shallow trenches for planting seeds and bulbs, to chop weeds, roots and crop residues, and even to",35.22,EA,H
3750-01-611-8751,Hardware,Rake (Garden),These rakes are perfect for removing leaves or dead grass (thatch) from lawns or for losenening and moving dirt.,37.17,EA,H
3750-01-611-8752,Hardware,Rake (Leaf),These rakes are perfect for removing leaves or dead grass (thatch) from lawns or for losenening and moving dirt.,25.81,EA,H
3750-01-615-8542,Hardware,Rake (Garden),These rakes are perfect for removing leaves or dead grass (thatch) from lawns or for losenening and moving dirt.,32.56,EA,H
3920-00-847-1305,General Products,Hand Truck,"This hand truck is portable and lightweight with either a collapsible, compact or fold-up design. The wheels are high-impact poly, steel or rubber, 4 to 8"" in diameter. Capacity: 200 lbs.",49.79,EA,H
3990-00-171-9774,General Products,Load Binder,"Light-duty binder has a 12,000-lb load rating. Has two grab hooks and a slack take-up hook, without a compression spring. For 1/4"" and 3/8"" chains. Features a 21-1/2"" operating lever. Lever-operated, all-steel, eccentric mechanism is used for tensioning t",57.13,EA,H
3990-00-171-9775,General Products,Load Binder,"Heavy-duty binder has a 15,000-lb load rating. Has two grab hooks and a slack take-up hook with a compression spring. For 3/8"" and 1/2"" chains. Features a maximum 20"" operating lever. Lever-operated, all-steel, eccentric mechanism is used for tensioning t",86.96,EA,H
3990-00-596-7051,General Products,Load Binder,"Heavy-duty binder has a 15,000-lb tensile proof rating. Latching type binder has a low energy release feature and is without a compression spring. For 3/8"" and 1/2"" chains. Lever-operated, all-steel, eccentric mechanism is used for tensioning tie-down dev",80.17,EA,H
4010-00-165-5605,General Products,Chain Link,"Link has a 2,650-lb safe working load and 10,600-lb minimum breaking load. Overall outside dimensions are 2-1/16 x 1-3/8"". Oval-shaped steel connecting link repairs steel chain and allows for add-ons.",29.76,BX,H
4010-00-165-5607,General Products,Chain Link,"Link has a 4,500-lb safe working load and 18,000-lb minimum breaking load. Overall outside dimensions are 2-5/8 x 1-3/4"". Oval-shaped steel connecting link repairs steel chain and allows for add-ons.",37.43,BX,H
4010-00-171-4426,General Products,Single-Leg Chain Assembly,"Light-service chain safe working load is 1,900-lbs. Inside link dimensions: 1.29""L x 0.44""W. Chain size is 5/16"". Proof coil chain is uncoated. IAW RR-C-271G, Type 1, Class 4. Welded steel chain assembly is intended for general service. Includes a grab ho",43.97,EA,H
4010-00-171-4427,General Products,Single-Leg Chain Assembly,"Rugged-service chain safe working load is 5,400-lbs. Inside link dimensions: 1.38""L x 0.55""W.  Chain is forged from high-test carbon steel. Chain size is 3/8"". IAW RR-C-271, Type 1, Class 2. Welded steel chain assembly is intended for general service. Inc",75.84,EA,H
4010-00-191-0091,General Products,Chain Link,"Link has a 1,250-lb safe working load and 5,000-lb minimum breaking load. Overall outside dimensions are 1-1/2 x 1"". Oval-shaped steel connecting link repairs steel chain and allows for add-ons. Use for assembly with rivets only.",28.65,BX,H
4020-00-068-7906,General Products,Rope,"Has a 890-lb. breaking strength. Diameter: 3/8"". Twisted in a ""ZSZ"" pattern, this three-strand rope is made of cotton/cotton-blend and is suitable for various uses. IAW A-A-52088.",117.19,SL,H
4020-00-068-7907,General Products,Rope,"Has a 1,450-lb. breaking strength. Diameter: 1/2"". Twisted in a ""ZSZ"" pattern, this three-strand rope is made of cotton/cotton-blend and is suitable for various uses. IAW A-A-52088.",168.48,SL,H
4020-00-141-7152,General Products,Rope,"Rope diameter 3/4"" each, three multi strands configuration. Has a 13,200-lb. breaking strength. Made of nylon fiber, this rope has a right-hand or ""Z"" twist and 55 percent elongation. Heat and light resistant. IAW MIL-PRF-17343.",733.7,RL,H
4020-00-240-2142,General Products,Sash Cord,Has a 720-lb breaking strength. Polished finish is lustrous and smooth. Cotton or cotton-blend yarn is braided over cotton fiber for use as sash cord. IAW A-A-55622.,170.58,RL,H
4020-00-240-2146,General Products,Cord,"Braided polyamide nylon cord is light- and heat-resistant. Has a 550-lb. breaking strength and 30 percent minimum elongation. PIA-C-5040, Type III.",175.88,SL,H
4020-00-241-8439,General Products,Sash Cord,Has a 720-lb breaking strength. Natural Finish. Cotton or cotton-blend yarn is braided over cotton fiber for use as sash cord. IAW A-A-55622.,35.22,HK,H
